30,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-01-25 03:50:00,1
2019-01-25 04:28:00,1
2019-01-25 07:18:00,2
2019-01-25 07:21:00,1
2019-01-25 07:22:00,1
2019-01-25 07:24:00,2
2019-01-25 07:36:00,1
2019-01-25 08:33:00,2
2019-01-25 08:35:00,1
2019-01-25 08:38:00,1
2019-01-25 10:30:00,1
2019-01-25 10:42:00,1
2019-01-25 10:45:00,3
2019-01-25 10:46:00,7
2019-01-25 10:47:00,1
2019-01-25 10:48:00,1
2019-01-25 13:32:00,1
2019-01-25 19:36:00,1
2019-01-25 19:38:00,1
