148,select fieldid from field where cccol_u between # and # and skyframes_r between # and # and skysig_i between # and # and expapcorrectionerr_g between -.# and .#
2019-01-25 01:26:00,4
2019-01-25 01:40:00,35
2019-01-25 01:42:00,21
2019-01-25 01:43:00,17
2019-01-25 01:44:00,2
2019-01-25 03:58:00,66
2019-01-25 04:00:00,2
2019-01-25 04:01:00,1
