165,select fieldid from field where skyframes_g between # and #
2019-01-25 00:00:00,6
2019-01-25 01:39:00,2
2019-01-25 01:40:00,2
2019-01-25 02:44:00,3
2019-01-25 02:45:00,11
2019-01-25 02:48:00,8
2019-01-25 02:49:00,3
2019-01-25 02:50:00,2
2019-01-25 03:05:00,1
2019-01-25 03:06:00,1
2019-01-25 03:10:00,8
2019-01-25 03:11:00,7
2019-01-25 04:06:00,10
2019-01-25 04:15:00,2
2019-01-25 04:24:00,2
2019-01-25 04:45:00,3
2019-01-25 04:53:00,7
2019-01-25 04:55:00,13
2019-01-25 05:17:00,3
2019-01-25 05:27:00,1
2019-01-25 05:52:00,13
2019-01-25 05:53:00,7
2019-01-25 06:17:00,9
2019-01-25 06:22:00,5
2019-01-25 14:28:00,3
2019-01-25 15:11:00,3
2019-01-25 15:12:00,22
2019-01-25 16:43:00,8
