1504,select fieldid from field where cccol_u between # and # and skyframes_r between # and # and expapcorrectionerr_r between .# and #
2019-01-25 07:41:00,1
2019-01-25 07:42:00,19
2019-01-25 07:43:00,22
2019-01-25 07:44:00,239
2019-01-25 07:45:00,263
2019-01-25 07:46:00,231
2019-01-25 07:47:00,200
2019-01-25 07:48:00,217
2019-01-25 07:49:00,161
2019-01-25 07:52:00,42
2019-01-25 08:19:00,13
2019-01-25 09:13:00,1
2019-01-25 09:14:00,7
2019-01-25 12:44:00,9
2019-01-25 12:45:00,7
2019-01-25 12:58:00,70
2019-01-25 12:59:00,2
