27,"SELECT   sp.plate, sp.fiberid, sp.mjd, sp.z as redshift, sp.zwarning,  g.h_beta_flux, g.h_beta_flux_err,  g.h_alpha_flux, g.h_alpha_flux_err,  g.h_alpha_eqw, g.oii_#_eqw, sp.ra, sp.dec,  sp.modelMag_g as g, sp.modelMag_i as i, sp.modelmagerr_g as err_g,  sp.modelMagerr_i as err_i   FROM GalSpecLine AS g  JOIN SpecPhoto AS sp ON sp.specobjid = g.specobjid  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = g.specobjid JOIN Galaxy as gal ON gal.specobjId = g.specobjid    WHERE   h_alpha_eqw between # and # and oii_#_eqw between # and #  and sp.modelMag_g-sp.modelMag_i > # and sp.z between # and # and sp.modelMag_i-#*log1#(#E+#*sp.z) < #  and gal.petroR9#_i/gal.petroR5#_i > #"
2019-01-25 10:04:00,1
2019-01-25 16:42:00,1
2019-01-25 16:45:00,1
2019-01-25 16:46:00,1
2019-01-25 16:50:00,1
2019-01-25 16:52:00,1
2019-01-25 16:57:00,1
2019-01-25 17:00:00,1
2019-01-25 17:06:00,1
2019-01-25 17:09:00,1
2019-01-25 17:10:00,1
2019-01-25 18:10:00,1
2019-01-25 18:12:00,1
2019-01-25 18:15:00,1
2019-01-25 18:17:00,1
2019-01-25 18:20:00,1
2019-01-25 18:21:00,1
2019-01-25 18:24:00,1
2019-01-25 18:28:00,1
2019-01-25 18:29:00,1
2019-01-25 18:32:00,2
2019-01-25 18:33:00,1
2019-01-25 18:34:00,1
2019-01-25 19:16:00,1
2019-01-25 19:18:00,1
2019-01-25 19:30:00,1
