18,"SELECT p.objid,p.ra,p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,  s.specobjid, s.class, s.subclass, s.z as redshift  FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   s.zWarning=# and s.subclass=&&&"
2019-01-25 08:04:00,1
2019-01-25 08:06:00,1
2019-01-25 08:07:00,1
2019-01-25 08:08:00,1
2019-01-25 08:09:00,2
2019-01-25 08:10:00,1
2019-01-25 08:12:00,4
2019-01-25 08:13:00,5
2019-01-25 08:14:00,1
2019-01-25 08:15:00,1
