27,select distinct parent from DBViewCols where viewname=&&&
2019-01-25 11:36:00,1
2019-01-25 12:46:00,1
2019-01-25 14:14:00,2
2019-01-25 14:19:00,1
2019-01-25 14:40:00,1
2019-01-25 15:12:00,1
2019-01-25 16:08:00,3
2019-01-25 16:26:00,1
2019-01-25 16:38:00,1
2019-01-25 16:43:00,1
2019-01-25 17:10:00,1
2019-01-25 17:13:00,2
2019-01-25 17:18:00,1
2019-01-25 17:19:00,1
2019-01-25 17:20:00,1
2019-01-25 19:00:00,1
2019-01-25 19:01:00,1
2019-01-25 19:10:00,1
2019-01-25 20:02:00,2
2019-01-25 20:05:00,1
2019-01-25 20:09:00,1
2019-01-25 20:42:00,1
