615,select fieldid from field where cccol_u between # and # and skyframes_r between .# and .#
2019-01-25 00:23:00,16
2019-01-25 01:55:00,66
2019-01-25 01:56:00,60
2019-01-25 01:57:00,94
2019-01-25 02:21:00,4
2019-01-25 04:15:00,1
2019-01-25 04:30:00,9
2019-01-25 04:31:00,2
2019-01-25 04:33:00,2
2019-01-25 04:57:00,1
2019-01-25 14:33:00,67
2019-01-25 14:34:00,1
2019-01-25 14:35:00,6
2019-01-25 14:40:00,2
2019-01-25 14:41:00,7
2019-01-25 14:51:00,10
2019-01-25 14:52:00,26
2019-01-25 15:00:00,2
2019-01-25 15:04:00,1
2019-01-25 15:15:00,1
2019-01-25 15:40:00,11
2019-01-25 15:48:00,10
2019-01-25 15:51:00,9
2019-01-25 15:58:00,6
2019-01-25 15:59:00,14
2019-01-25 16:00:00,6
2019-01-25 16:03:00,22
2019-01-25 16:05:00,4
2019-01-25 16:08:00,5
2019-01-25 16:14:00,10
2019-01-25 16:16:00,9
2019-01-25 16:18:00,3
2019-01-25 16:20:00,2
2019-01-25 16:21:00,1
2019-01-25 16:26:00,2
2019-01-25 16:29:00,7
2019-01-25 16:30:00,4
2019-01-25 16:32:00,35
2019-01-25 16:43:00,1
2019-01-25 16:44:00,3
2019-01-25 16:47:00,15
2019-01-25 16:50:00,6
2019-01-25 16:51:00,5
2019-01-25 16:57:00,2
2019-01-25 16:59:00,1
2019-01-25 17:02:00,1
2019-01-25 17:03:00,4
2019-01-25 17:13:00,4
2019-01-25 17:15:00,4
2019-01-25 17:18:00,15
2019-01-25 20:07:00,2
2019-01-25 23:22:00,4
2019-01-25 23:23:00,6
2019-01-25 23:24:00,4
