14,select fieldid from field where cccol_u between .# and # and skyframes_r between # and # and expapcorrectionerr_r between # and #
2019-01-25 07:42:00,5
2019-01-25 07:43:00,4
2019-01-25 07:47:00,1
2019-01-25 07:48:00,3
2019-01-25 07:49:00,1
