1908,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-01-25 13:33:00,49
2019-01-25 13:36:00,161
2019-01-25 13:37:00,89
2019-01-25 13:38:00,44
2019-01-25 13:39:00,246
2019-01-25 13:43:00,165
2019-01-25 13:44:00,86
2019-01-25 13:45:00,4
2019-01-25 13:46:00,98
2019-01-25 13:47:00,75
2019-01-25 13:48:00,81
2019-01-25 13:49:00,109
2019-01-25 13:50:00,82
2019-01-25 13:51:00,66
2019-01-25 13:52:00,56
2019-01-25 13:53:00,51
2019-01-25 13:54:00,30
2019-01-25 13:55:00,126
2019-01-25 13:56:00,92
2019-01-25 13:57:00,198
