427,"SELECT TOP # P.ra, P.dec, P.psfMag_u, P.psfMagErr_u, P.petroMag_u, P.petroMagErr_u, P.modelMag_u, P.modelMagErr_u, P.expMag_u, P.expMagErr_u, P.psfMag_g, P.psfMagErr_g, P.petroMag_g, P.petroMagErr_g, P.modelMag_g, P.modelMagErr_g, P.expMag_g, P.expMagErr_g, P.psfMag_r, P.psfMagErr_r, P.petroMag_r, P.petroMagErr_r, P.modelMag_r, P.modelMagErr_r, P.expMag_r, P.expMagErr_r, P.psfMag_i, P.psfMagErr_i, P.petroMag_i, P.petroMagErr_i, P.modelMag_i, P.modelMagErr_i, P.expMag_i, P.expMagErr_i, P.psfMag_z, P.psfMagErr_z, P.petroMag_z, P.petroMagErr_z, P.modelMag_z, P.modelMagErr_z, P.expMag_z, P.expMagErr_z, P.expAB_r, P.expPhi_r, P.expRad_r, P.deVAB_r, P.deVPhi_r, P.deVRad_r FROM PhotoPrimary as P JOIN dbo.fGetNearbyObjEq(#,#, #) AS PN ON P.objID = PN.objID ORDER BY distance"
2019-05-31 16:00:00,2
2019-05-31 16:01:00,1
2019-05-31 16:04:00,14
2019-05-31 16:05:00,15
2019-05-31 16:06:00,16
2019-05-31 16:07:00,17
2019-05-31 16:08:00,18
2019-05-31 16:09:00,17
2019-05-31 16:10:00,18
2019-05-31 16:11:00,17
2019-05-31 16:12:00,15
2019-05-31 16:13:00,17
2019-05-31 16:14:00,16
2019-05-31 16:15:00,17
2019-05-31 16:16:00,18
2019-05-31 16:17:00,16
2019-05-31 16:18:00,16
2019-05-31 16:19:00,14
2019-05-31 16:20:00,17
2019-05-31 16:21:00,15
2019-05-31 16:22:00,16
2019-05-31 16:23:00,16
2019-05-31 16:24:00,16
2019-05-31 16:25:00,16
2019-05-31 16:26:00,17
2019-05-31 16:27:00,15
2019-05-31 16:28:00,16
2019-05-31 16:29:00,15
2019-05-31 16:30:00,4
