1820,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-05-31 12:38:00,3
2019-05-31 12:39:00,1
2019-05-31 12:40:00,2
2019-05-31 12:41:00,1
2019-05-31 12:42:00,2
2019-05-31 12:43:00,2
2019-05-31 12:44:00,2
2019-05-31 12:45:00,2
2019-05-31 12:46:00,2
2019-05-31 12:47:00,2
2019-05-31 12:48:00,2
2019-05-31 12:49:00,2
2019-05-31 12:50:00,1
2019-05-31 12:51:00,2
2019-05-31 12:52:00,2
2019-05-31 12:53:00,1
2019-05-31 12:54:00,2
2019-05-31 12:55:00,2
2019-05-31 12:56:00,2
2019-05-31 12:57:00,2
2019-05-31 12:58:00,2
2019-05-31 12:59:00,2
2019-05-31 13:00:00,2
2019-05-31 13:01:00,1
2019-05-31 13:02:00,2
2019-05-31 13:03:00,2
2019-05-31 13:04:00,2
2019-05-31 13:05:00,2
2019-05-31 13:06:00,2
2019-05-31 13:07:00,2
2019-05-31 13:49:00,2
2019-05-31 13:50:00,2
2019-05-31 13:51:00,1
2019-05-31 13:52:00,1
2019-05-31 13:53:00,2
2019-05-31 13:54:00,4
2019-05-31 13:55:00,2
2019-05-31 13:56:00,4
2019-05-31 13:57:00,4
2019-05-31 13:58:00,3
2019-05-31 13:59:00,4
2019-05-31 14:00:00,4
2019-05-31 14:01:00,4
2019-05-31 14:02:00,4
2019-05-31 14:03:00,4
2019-05-31 14:04:00,3
2019-05-31 14:05:00,1
2019-05-31 14:06:00,4
2019-05-31 14:07:00,4
2019-05-31 14:08:00,4
2019-05-31 14:09:00,3
2019-05-31 14:10:00,5
2019-05-31 14:11:00,2
2019-05-31 14:12:00,4
2019-05-31 14:13:00,4
2019-05-31 14:14:00,4
2019-05-31 14:15:00,2
2019-05-31 14:16:00,4
2019-05-31 14:17:00,3
2019-05-31 14:18:00,4
2019-05-31 14:19:00,4
2019-05-31 14:20:00,4
2019-05-31 14:21:00,4
2019-05-31 14:22:00,4
2019-05-31 14:23:00,4
2019-05-31 14:24:00,3
2019-05-31 14:25:00,4
2019-05-31 14:26:00,4
2019-05-31 14:27:00,4
2019-05-31 14:28:00,4
2019-05-31 14:29:00,3
2019-05-31 14:30:00,4
2019-05-31 14:31:00,4
2019-05-31 14:32:00,4
2019-05-31 14:33:00,4
2019-05-31 14:34:00,4
2019-05-31 14:35:00,4
2019-05-31 14:36:00,2
2019-05-31 14:37:00,4
2019-05-31 14:38:00,4
2019-05-31 14:39:00,4
2019-05-31 14:40:00,4
2019-05-31 14:41:00,3
2019-05-31 14:42:00,4
2019-05-31 14:43:00,4
2019-05-31 14:44:00,3
2019-05-31 14:45:00,4
2019-05-31 14:46:00,2
2019-05-31 15:05:00,1
2019-05-31 15:06:00,3
2019-05-31 15:07:00,3
2019-05-31 15:08:00,3
2019-05-31 15:09:00,4
2019-05-31 15:10:00,4
2019-05-31 15:11:00,6
2019-05-31 15:12:00,4
2019-05-31 15:13:00,4
2019-05-31 15:14:00,4
2019-05-31 15:15:00,4
2019-05-31 15:16:00,4
2019-05-31 15:17:00,3
2019-05-31 15:58:00,2
2019-05-31 15:59:00,1
2019-05-31 16:00:00,1
2019-05-31 16:01:00,1
2019-05-31 16:02:00,2
2019-05-31 16:03:00,3
2019-05-31 16:04:00,6
2019-05-31 16:06:00,4
2019-05-31 16:07:00,3
2019-05-31 16:08:00,2
2019-05-31 16:09:00,5
2019-05-31 16:10:00,5
2019-05-31 16:11:00,4
2019-05-31 16:12:00,4
2019-05-31 16:13:00,5
2019-05-31 16:14:00,4
2019-05-31 16:15:00,2
2019-05-31 16:16:00,5
2019-05-31 16:17:00,4
2019-05-31 16:18:00,5
2019-05-31 16:19:00,5
2019-05-31 16:20:00,5
2019-05-31 16:21:00,5
2019-05-31 16:22:00,3
2019-05-31 16:23:00,4
2019-05-31 16:24:00,6
2019-05-31 16:25:00,4
2019-05-31 16:26:00,6
2019-05-31 16:27:00,4
2019-05-31 16:28:00,6
2019-05-31 16:29:00,4
