5,"SELECT psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,ra,dec, flags_r From Star WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ((flags_r & #) != #) AND ((flags_r & #) = #) AND (((flags_r & #) = #) or (psfmagerr_r <= #)) AND (((flags_r & #) = #) or (flags_r & #) = #) AND ((flags_g & #) != #) AND ((flags_g & #) = #) AND (((flags_g & #) = #) or (psfmagerr_g <= #)) AND (((flags_g & #) = #) or (flags_g & #) = #) AND ((flags_i & #) != #) AND ((flags_i & #) = #) AND (((flags_i & #) = #) or (psfmagerr_i <= #)) AND (((flags_i & #) = #) or (flags_i & #) = #)"
2019-05-31 01:26:00,1
2019-05-31 01:27:00,1
2019-05-31 01:29:00,1
2019-05-31 03:39:00,2
