8,"SELECT TOP # ra, dec, u, g, r, i, z FROM PhotoObj Where ra BETWEEN # and # AND dec between # and #"
2019-05-31 21:25:00,1
2019-05-31 21:27:00,2
2019-05-31 21:29:00,1
2019-05-31 21:57:00,1
2019-05-31 22:01:00,1
2019-05-31 22:05:00,2
