254,select top # z from SpecPhoto where ObjID IN (#)
2019-05-31 19:22:00,1
2019-05-31 19:35:00,56
2019-05-31 19:36:00,84
2019-05-31 19:54:00,79
2019-05-31 19:55:00,34
