742,"SELECT dbo.fGetNearestSpecObjIdAllEq(#,#,#) as specObjID"
2019-05-31 00:34:00,1
2019-05-31 00:38:00,1
2019-05-31 00:39:00,1
2019-05-31 00:40:00,1
2019-05-31 00:41:00,1
2019-05-31 00:42:00,2
2019-05-31 00:43:00,2
2019-05-31 00:45:00,1
2019-05-31 00:47:00,1
2019-05-31 00:48:00,4
2019-05-31 00:49:00,1
2019-05-31 00:51:00,1
2019-05-31 00:53:00,1
2019-05-31 00:55:00,1
2019-05-31 00:57:00,1
2019-05-31 00:58:00,7
2019-05-31 01:00:00,1
2019-05-31 01:02:00,1
2019-05-31 01:05:00,1
2019-05-31 01:07:00,1
2019-05-31 01:09:00,1
2019-05-31 01:11:00,1
2019-05-31 01:13:00,1
2019-05-31 01:14:00,9
2019-05-31 01:16:00,1
2019-05-31 01:18:00,1
2019-05-31 01:20:00,1
2019-05-31 01:22:00,1
2019-05-31 01:23:00,1
2019-05-31 01:25:00,1
2019-05-31 01:27:00,1
2019-05-31 01:29:00,1
2019-05-31 01:30:00,11
2019-05-31 01:32:00,1
2019-05-31 01:34:00,1
2019-05-31 01:36:00,1
2019-05-31 01:38:00,1
2019-05-31 01:39:00,1
2019-05-31 01:41:00,1
2019-05-31 01:43:00,1
2019-05-31 01:44:00,1
2019-05-31 01:46:00,7
2019-05-31 01:48:00,1
2019-05-31 01:50:00,1
2019-05-31 01:51:00,2
2019-05-31 01:52:00,1
2019-05-31 01:53:00,1
2019-05-31 01:55:00,1
2019-05-31 01:57:00,9
2019-05-31 01:59:00,1
2019-05-31 02:01:00,1
2019-05-31 02:06:00,1
2019-05-31 02:07:00,1
2019-05-31 02:09:00,1
2019-05-31 02:11:00,1
2019-05-31 02:13:00,4
2019-05-31 18:38:00,1
2019-05-31 18:39:00,6
2019-05-31 18:40:00,13
2019-05-31 18:41:00,23
2019-05-31 18:42:00,31
2019-05-31 18:43:00,38
2019-05-31 18:44:00,33
2019-05-31 18:45:00,34
2019-05-31 18:46:00,34
2019-05-31 18:47:00,35
2019-05-31 18:48:00,42
2019-05-31 18:49:00,22
2019-05-31 18:50:00,12
2019-05-31 20:25:00,17
2019-05-31 20:26:00,52
2019-05-31 20:27:00,60
2019-05-31 20:28:00,61
2019-05-31 20:29:00,46
2019-05-31 20:30:00,31
2019-05-31 20:31:00,31
2019-05-31 20:32:00,17
