11,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #"
2019-05-31 10:45:00,1
2019-05-31 11:08:00,2
2019-05-31 11:09:00,1
2019-05-31 11:10:00,1
2019-05-31 21:00:00,1
2019-05-31 21:18:00,1
2019-05-31 21:32:00,1
2019-05-31 21:45:00,1
2019-05-31 21:48:00,1
2019-05-31 21:49:00,1
