80,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-05-31 07:33:00,2
2019-05-31 07:34:00,2
2019-05-31 07:35:00,2
2019-05-31 07:37:00,2
2019-05-31 07:57:00,2
2019-05-31 07:58:00,2
2019-05-31 07:59:00,2
2019-05-31 08:01:00,2
2019-05-31 08:59:00,2
2019-05-31 09:00:00,2
2019-05-31 09:01:00,2
2019-05-31 09:02:00,2
2019-05-31 09:26:00,4
2019-05-31 09:27:00,4
2019-05-31 09:34:00,2
2019-05-31 09:35:00,2
2019-05-31 09:36:00,2
2019-05-31 09:38:00,2
2019-05-31 10:16:00,2
2019-05-31 10:17:00,2
2019-05-31 10:18:00,2
2019-05-31 10:20:00,2
2019-05-31 10:40:00,2
2019-05-31 10:41:00,2
2019-05-31 10:42:00,2
2019-05-31 10:44:00,2
2019-05-31 11:21:00,4
2019-05-31 11:22:00,2
2019-05-31 11:23:00,2
2019-05-31 11:37:00,2
2019-05-31 11:38:00,2
2019-05-31 11:39:00,2
2019-05-31 11:41:00,2
2019-05-31 12:01:00,2
2019-05-31 12:02:00,2
2019-05-31 12:03:00,2
2019-05-31 12:05:00,2
