73,select top # * from [MyTable_#]
2019-09-04 06:17:00,1
2019-09-04 06:25:00,1
2019-09-04 06:26:00,2
2019-09-04 15:45:00,2
2019-09-04 15:49:00,1
2019-09-04 15:50:00,1
2019-09-04 15:52:00,2
2019-09-04 15:57:00,3
2019-09-04 15:58:00,1
2019-09-04 16:06:00,2
2019-09-04 16:09:00,2
2019-09-04 16:11:00,2
2019-09-04 16:12:00,1
2019-09-04 16:16:00,6
2019-09-04 16:17:00,3
2019-09-04 16:18:00,2
2019-09-04 16:19:00,1
2019-09-04 16:22:00,1
2019-09-04 16:25:00,1
2019-09-04 16:26:00,1
2019-09-04 16:27:00,1
2019-09-04 16:29:00,1
2019-09-04 16:30:00,1
2019-09-04 16:31:00,2
2019-09-04 16:32:00,2
2019-09-04 16:33:00,1
2019-09-04 16:45:00,3
2019-09-04 16:46:00,1
2019-09-04 16:51:00,1
2019-09-04 16:53:00,1
2019-09-04 16:55:00,1
2019-09-04 16:56:00,1
2019-09-04 16:59:00,1
2019-09-04 17:05:00,2
2019-09-04 17:06:00,1
2019-09-04 17:08:00,1
2019-09-04 17:11:00,1
2019-09-04 17:13:00,3
2019-09-04 17:14:00,3
2019-09-04 17:15:00,1
2019-09-04 17:20:00,1
2019-09-04 17:21:00,1
2019-09-04 17:22:00,1
2019-09-04 17:27:00,1
2019-09-04 17:33:00,2
2019-09-04 17:44:00,1
2019-09-04 17:50:00,1
