215,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-09-04 06:20:00,1
2019-09-04 06:28:00,1
2019-09-04 06:32:00,1
2019-09-04 06:38:00,2
2019-09-04 06:39:00,3
2019-09-04 06:40:00,2
2019-09-04 06:47:00,4
2019-09-04 07:56:00,2
2019-09-04 07:58:00,2
2019-09-04 07:59:00,1
2019-09-04 08:02:00,1
2019-09-04 08:05:00,2
2019-09-04 08:07:00,1
2019-09-04 08:13:00,1
2019-09-04 08:17:00,1
2019-09-04 08:18:00,2
2019-09-04 08:21:00,3
2019-09-04 08:22:00,1
2019-09-04 08:23:00,3
2019-09-04 08:24:00,1
2019-09-04 08:25:00,2
2019-09-04 08:26:00,2
2019-09-04 08:27:00,3
2019-09-04 08:28:00,1
2019-09-04 08:29:00,2
2019-09-04 08:30:00,4
2019-09-04 08:31:00,1
2019-09-04 08:32:00,3
2019-09-04 08:33:00,4
2019-09-04 08:34:00,4
2019-09-04 08:35:00,3
2019-09-04 08:36:00,1
2019-09-04 08:37:00,2
2019-09-04 08:38:00,2
2019-09-04 08:39:00,1
2019-09-04 08:40:00,5
2019-09-04 08:41:00,4
2019-09-04 08:42:00,2
2019-09-04 08:43:00,2
2019-09-04 08:44:00,2
2019-09-04 08:45:00,3
2019-09-04 08:46:00,3
2019-09-04 08:47:00,2
2019-09-04 08:48:00,2
2019-09-04 08:50:00,6
2019-09-04 08:51:00,1
2019-09-04 08:52:00,1
2019-09-04 08:53:00,3
2019-09-04 08:54:00,2
2019-09-04 08:55:00,2
2019-09-04 08:56:00,4
2019-09-04 08:57:00,2
2019-09-04 08:59:00,4
2019-09-04 09:00:00,3
2019-09-04 09:01:00,4
2019-09-04 09:02:00,2
2019-09-04 09:03:00,3
2019-09-04 09:05:00,2
2019-09-04 09:06:00,1
2019-09-04 09:07:00,3
2019-09-04 09:08:00,1
2019-09-04 09:09:00,2
2019-09-04 09:10:00,1
2019-09-04 09:11:00,1
2019-09-04 09:13:00,1
2019-09-04 09:14:00,1
2019-09-04 09:15:00,1
2019-09-04 09:37:00,1
2019-09-04 09:47:00,1
2019-09-04 09:48:00,2
2019-09-04 09:52:00,1
2019-09-04 09:53:00,1
2019-09-04 09:54:00,1
2019-09-04 09:58:00,2
2019-09-04 09:59:00,1
2019-09-04 10:02:00,1
2019-09-04 10:03:00,3
2019-09-04 10:07:00,1
2019-09-04 10:08:00,1
2019-09-04 10:14:00,1
2019-09-04 10:15:00,1
2019-09-04 10:17:00,1
2019-09-04 10:18:00,1
2019-09-04 12:08:00,7
2019-09-04 12:09:00,3
2019-09-04 12:10:00,4
2019-09-04 12:33:00,1
2019-09-04 12:34:00,1
2019-09-04 12:41:00,1
2019-09-04 12:42:00,1
2019-09-04 12:49:00,2
2019-09-04 12:57:00,2
2019-09-04 12:58:00,1
2019-09-04 13:30:00,1
2019-09-04 13:35:00,1
2019-09-04 13:43:00,1
2019-09-04 14:18:00,1
2019-09-04 14:30:00,1
2019-09-04 14:34:00,1
2019-09-04 14:40:00,1
2019-09-04 14:42:00,1
2019-09-04 14:44:00,1
2019-09-04 14:47:00,1
2019-09-04 14:49:00,1
2019-09-04 14:58:00,1
2019-09-04 16:06:00,6
2019-09-04 16:07:00,6
2019-09-04 16:08:00,2
