30,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.i between # AND #"
2019-09-04 22:24:00,1
2019-09-04 22:26:00,1
2019-09-04 22:35:00,1
2019-09-04 22:36:00,1
2019-09-04 22:37:00,2
2019-09-04 22:38:00,1
2019-09-04 22:40:00,2
2019-09-04 22:41:00,1
2019-09-04 22:44:00,2
2019-09-04 23:07:00,1
2019-09-04 23:08:00,1
2019-09-04 23:19:00,1
2019-09-04 23:41:00,1
2019-09-04 23:42:00,1
2019-09-04 23:48:00,1
2019-09-04 23:50:00,5
2019-09-04 23:54:00,1
2019-09-04 23:55:00,1
2019-09-04 23:56:00,1
2019-09-04 23:57:00,2
2019-09-04 23:58:00,2
