282,"select s.ObjID, s.ra,s.dec,s.deVRad_r,s.deVAB_r,s.raErr,s.decErr,s.type,s.modelMag_u,s.modelMagErr_u,s.modelMag_g,s.modelMagErr_g,s.modelMag_r,s.modelMagErr_r,s.modelMag_i,s.modelMagErr_i,s.modelMag_z,s.modelMagErr_z from PhotoPrimary s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-09-04 00:34:00,2
2019-09-04 00:42:00,1
2019-09-04 00:43:00,1
2019-09-04 00:50:00,1
2019-09-04 00:56:00,1
2019-09-04 01:00:00,2
2019-09-04 01:09:00,2
2019-09-04 01:17:00,1
2019-09-04 01:21:00,1
2019-09-04 01:25:00,1
2019-09-04 01:27:00,2
2019-09-04 01:31:00,1
2019-09-04 01:32:00,1
2019-09-04 01:37:00,1
2019-09-04 01:40:00,2
2019-09-04 01:44:00,1
2019-09-04 01:47:00,1
2019-09-04 01:48:00,1
2019-09-04 01:53:00,1
2019-09-04 01:54:00,1
2019-09-04 01:55:00,2
2019-09-04 01:57:00,2
2019-09-04 01:59:00,2
2019-09-04 02:01:00,2
2019-09-04 02:03:00,2
2019-09-04 02:05:00,2
2019-09-04 02:07:00,2
2019-09-04 02:09:00,2
2019-09-04 02:11:00,1
2019-09-04 02:13:00,1
2019-09-04 02:14:00,1
2019-09-04 02:15:00,1
2019-09-04 02:16:00,1
2019-09-04 02:21:00,1
2019-09-04 02:22:00,1
2019-09-04 02:24:00,2
2019-09-04 02:28:00,1
2019-09-04 02:30:00,2
2019-09-04 02:34:00,1
2019-09-04 02:36:00,2
2019-09-04 02:40:00,2
2019-09-04 02:44:00,1
2019-09-04 02:45:00,1
2019-09-04 02:47:00,1
2019-09-04 02:49:00,1
2019-09-04 02:51:00,1
2019-09-04 02:53:00,1
2019-09-04 02:55:00,1
2019-09-04 02:57:00,1
2019-09-04 02:58:00,2
2019-09-04 03:00:00,1
2019-09-04 03:01:00,1
2019-09-04 03:02:00,1
2019-09-04 03:03:00,1
2019-09-04 03:04:00,2
2019-09-04 03:07:00,1
2019-09-04 03:08:00,1
2019-09-04 03:10:00,1
2019-09-04 03:17:00,1
2019-09-04 03:18:00,1
2019-09-04 03:28:00,2
2019-09-04 03:40:00,1
2019-09-04 03:48:00,1
2019-09-04 03:55:00,1
2019-09-04 04:05:00,2
2019-09-04 04:16:00,1
2019-09-04 04:17:00,1
2019-09-04 04:25:00,2
2019-09-04 04:33:00,2
2019-09-04 04:38:00,1
2019-09-04 04:45:00,1
2019-09-04 04:51:00,2
2019-09-04 04:58:00,2
2019-09-04 05:06:00,1
2019-09-04 05:12:00,1
2019-09-04 05:17:00,1
2019-09-04 05:23:00,2
2019-09-04 05:30:00,1
2019-09-04 05:36:00,1
2019-09-04 05:42:00,2
2019-09-04 05:51:00,2
2019-09-04 05:58:00,1
2019-09-04 06:02:00,1
2019-09-04 06:06:00,1
2019-09-04 06:08:00,1
2019-09-04 06:09:00,1
2019-09-04 06:12:00,2
2019-09-04 06:15:00,1
2019-09-04 06:16:00,1
2019-09-04 06:17:00,1
2019-09-04 06:18:00,2
2019-09-04 06:34:00,2
2019-09-04 06:46:00,1
2019-09-04 06:47:00,1
2019-09-04 06:54:00,1
2019-09-04 07:01:00,2
2019-09-04 07:07:00,1
2019-09-04 07:08:00,1
2019-09-04 07:14:00,2
2019-09-04 07:21:00,1
2019-09-04 07:22:00,1
2019-09-04 07:23:00,1
2019-09-04 07:24:00,1
2019-09-04 07:26:00,1
2019-09-04 07:27:00,2
2019-09-04 07:30:00,1
