99,select * from fDocFunctionParams(&&&)
2019-09-04 00:32:00,1
2019-09-04 00:34:00,1
2019-09-04 00:48:00,1
2019-09-04 00:51:00,1
2019-09-04 00:52:00,1
2019-09-04 00:59:00,1
2019-09-04 01:02:00,1
2019-09-04 01:56:00,1
2019-09-04 01:58:00,1
2019-09-04 02:50:00,1
2019-09-04 03:55:00,3
2019-09-04 04:24:00,1
2019-09-04 05:00:00,1
2019-09-04 05:27:00,1
2019-09-04 05:34:00,1
2019-09-04 05:41:00,1
2019-09-04 05:43:00,1
2019-09-04 05:58:00,1
2019-09-04 06:00:00,2
2019-09-04 06:13:00,1
2019-09-04 06:14:00,1
2019-09-04 06:15:00,1
2019-09-04 07:02:00,1
2019-09-04 07:17:00,2
2019-09-04 07:29:00,3
2019-09-04 07:30:00,2
2019-09-04 07:33:00,1
2019-09-04 07:34:00,1
2019-09-04 09:13:00,1
2019-09-04 10:33:00,1
2019-09-04 12:37:00,2
2019-09-04 12:49:00,1
2019-09-04 13:29:00,1
2019-09-04 13:32:00,1
2019-09-04 13:34:00,1
2019-09-04 13:35:00,1
2019-09-04 13:41:00,1
2019-09-04 13:54:00,1
2019-09-04 14:20:00,1
2019-09-04 14:33:00,1
2019-09-04 14:34:00,1
2019-09-04 14:39:00,1
2019-09-04 14:40:00,5
2019-09-04 14:46:00,1
2019-09-04 15:00:00,1
2019-09-04 15:05:00,2
2019-09-04 15:14:00,1
2019-09-04 15:38:00,1
2019-09-04 15:42:00,1
2019-09-04 15:55:00,1
2019-09-04 16:19:00,1
2019-09-04 16:51:00,3
2019-09-04 17:03:00,3
2019-09-04 17:44:00,1
2019-09-04 18:06:00,1
2019-09-04 18:25:00,1
2019-09-04 18:34:00,1
2019-09-04 19:30:00,1
2019-09-04 20:13:00,2
2019-09-04 20:14:00,1
2019-09-04 20:15:00,2
2019-09-04 20:31:00,1
2019-09-04 20:51:00,1
2019-09-04 21:07:00,1
2019-09-04 21:20:00,1
2019-09-04 21:23:00,1
2019-09-04 21:39:00,2
2019-09-04 22:12:00,1
2019-09-04 22:38:00,1
2019-09-04 22:42:00,1
2019-09-04 22:58:00,1
2019-09-04 23:13:00,1
2019-09-04 23:16:00,1
2019-09-04 23:30:00,1
2019-09-04 23:31:00,1
2019-09-04 23:34:00,1
2019-09-04 23:35:00,1
2019-09-04 23:36:00,1
2019-09-04 23:46:00,1
