30,select top # * from [MyTable]
2019-09-04 05:28:00,1
2019-09-04 05:54:00,1
2019-09-04 05:56:00,1
2019-09-04 06:04:00,1
2019-09-04 06:29:00,1
2019-09-04 15:37:00,1
2019-09-04 15:38:00,3
2019-09-04 15:39:00,1
2019-09-04 15:40:00,1
2019-09-04 15:41:00,1
2019-09-04 15:42:00,1
2019-09-04 15:44:00,1
2019-09-04 15:45:00,1
2019-09-04 15:47:00,1
2019-09-04 15:48:00,6
2019-09-04 15:50:00,2
2019-09-04 15:52:00,1
2019-09-04 15:53:00,1
2019-09-04 15:57:00,1
2019-09-04 15:59:00,1
2019-09-04 16:06:00,1
2019-09-04 17:33:00,1
