716,"select O.ra, O.dec, O.probPSF, O.psfMag_g from dbo.fGetNearbyObjEq(#,#,#) as N inner join PhotoObjAll as O on O.objID = N.objID order by N.distance"
2019-09-04 12:59:00,6
2019-09-04 13:28:00,6
2019-09-04 13:29:00,4
2019-09-04 13:30:00,2
2019-09-04 14:09:00,1
2019-09-04 14:10:00,6
2019-09-04 14:11:00,12
2019-09-04 14:12:00,5
2019-09-04 15:33:00,1
2019-09-04 15:35:00,4
2019-09-04 15:36:00,9
2019-09-04 15:37:00,7
2019-09-04 15:38:00,6
2019-09-04 15:39:00,4
2019-09-04 15:40:00,6
2019-09-04 15:41:00,17
2019-09-04 15:42:00,17
2019-09-04 15:43:00,11
2019-09-04 16:15:00,2
2019-09-04 16:16:00,21
2019-09-04 16:27:00,4
2019-09-04 16:28:00,12
2019-09-04 16:29:00,14
2019-09-04 16:30:00,10
2019-09-04 16:31:00,13
2019-09-04 16:32:00,14
2019-09-04 16:33:00,11
2019-09-04 16:34:00,4
2019-09-04 16:41:00,13
2019-09-04 16:43:00,2
2019-09-04 16:44:00,15
2019-09-04 16:45:00,18
2019-09-04 16:46:00,18
2019-09-04 16:47:00,16
2019-09-04 16:48:00,21
2019-09-04 16:49:00,20
2019-09-04 16:50:00,13
2019-09-04 16:51:00,18
2019-09-04 16:52:00,10
2019-09-04 16:53:00,2
2019-09-04 16:54:00,22
2019-09-04 16:55:00,17
2019-09-04 16:56:00,16
2019-09-04 16:57:00,11
2019-09-04 16:58:00,7
2019-09-04 16:59:00,6
2019-09-04 17:01:00,2
2019-09-04 17:02:00,18
2019-09-04 17:03:00,22
2019-09-04 17:04:00,15
2019-09-04 17:05:00,13
2019-09-04 17:06:00,11
2019-09-04 17:07:00,6
2019-09-04 17:08:00,21
2019-09-04 17:09:00,11
2019-09-04 17:10:00,15
2019-09-04 17:11:00,19
2019-09-04 17:12:00,23
2019-09-04 17:13:00,24
2019-09-04 17:14:00,14
2019-09-04 17:15:00,13
2019-09-04 17:16:00,10
2019-09-04 17:17:00,5
