63,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-09-04 00:15:00,2
2019-09-04 00:19:00,1
2019-09-04 02:57:00,2
2019-09-04 02:58:00,1
2019-09-04 02:59:00,1
2019-09-04 03:14:00,2
2019-09-04 03:15:00,3
2019-09-04 03:58:00,3
2019-09-04 03:59:00,1
2019-09-04 04:06:00,1
2019-09-04 04:07:00,1
2019-09-04 04:59:00,1
2019-09-04 05:14:00,3
2019-09-04 05:32:00,1
2019-09-04 05:36:00,2
2019-09-04 05:58:00,1
2019-09-04 06:02:00,1
2019-09-04 06:06:00,1
2019-09-04 06:58:00,1
2019-09-04 07:14:00,3
2019-09-04 07:15:00,2
2019-09-04 07:18:00,2
2019-09-04 07:37:00,1
2019-09-04 10:06:00,16
2019-09-04 10:07:00,5
2019-09-04 12:49:00,1
2019-09-04 13:15:00,1
2019-09-04 13:59:00,1
2019-09-04 14:27:00,1
2019-09-04 22:17:00,1
