3,"SELECT s.specobjID, sub.* into mydb.MyTable_# from All_DR1# AS s      JOIN subset as sub    ON sub.mjd = s.mjd     AND sub.plate = s.plate      AND sub.fiberID = s.fiberID"
2019-09-04 18:44:00,2
2019-09-04 18:45:00,1
