25,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-09-04 00:26:00,1
2019-09-04 00:29:00,2
2019-09-04 00:30:00,3
2019-09-04 01:17:00,2
2019-09-04 01:18:00,1
2019-09-04 01:55:00,2
2019-09-04 04:33:00,2
2019-09-04 10:50:00,1
2019-09-04 12:37:00,1
2019-09-04 14:03:00,1
2019-09-04 14:41:00,1
2019-09-04 15:02:00,1
2019-09-04 15:06:00,1
2019-09-04 15:46:00,1
2019-09-04 19:13:00,1
2019-09-04 19:17:00,1
2019-09-04 19:29:00,1
2019-09-04 21:07:00,1
2019-09-04 21:38:00,1
