671,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-09-04 19:11:00,1
2019-09-04 19:12:00,2
2019-09-04 19:13:00,3
2019-09-04 19:14:00,2
2019-09-04 19:15:00,4
2019-09-04 19:16:00,1
2019-09-04 19:17:00,4
2019-09-04 19:18:00,2
2019-09-04 19:19:00,3
2019-09-04 19:20:00,2
2019-09-04 19:21:00,2
2019-09-04 19:22:00,2
2019-09-04 19:23:00,2
2019-09-04 19:24:00,3
2019-09-04 19:25:00,4
2019-09-04 19:26:00,2
2019-09-04 19:27:00,3
2019-09-04 19:28:00,2
2019-09-04 19:29:00,3
2019-09-04 19:30:00,3
2019-09-04 19:31:00,2
2019-09-04 19:32:00,3
2019-09-04 19:33:00,3
2019-09-04 19:34:00,3
2019-09-04 19:35:00,2
2019-09-04 19:36:00,4
2019-09-04 19:37:00,2
2019-09-04 19:38:00,3
2019-09-04 19:39:00,1
2019-09-04 19:40:00,3
2019-09-04 19:41:00,2
2019-09-04 19:42:00,1
2019-09-04 19:43:00,3
2019-09-04 19:44:00,3
2019-09-04 19:45:00,3
2019-09-04 19:46:00,3
2019-09-04 19:47:00,3
2019-09-04 19:48:00,2
2019-09-04 19:49:00,3
2019-09-04 19:50:00,3
2019-09-04 19:51:00,4
2019-09-04 19:52:00,3
2019-09-04 19:53:00,3
2019-09-04 19:54:00,2
2019-09-04 19:55:00,2
2019-09-04 19:56:00,2
2019-09-04 19:57:00,3
2019-09-04 19:58:00,2
2019-09-04 19:59:00,3
2019-09-04 20:00:00,2
2019-09-04 20:01:00,2
2019-09-04 20:02:00,3
2019-09-04 20:03:00,2
2019-09-04 20:04:00,2
2019-09-04 20:05:00,2
2019-09-04 20:06:00,3
2019-09-04 20:07:00,2
2019-09-04 20:08:00,2
2019-09-04 20:09:00,2
2019-09-04 20:10:00,2
2019-09-04 20:11:00,1
2019-09-04 20:12:00,2
2019-09-04 20:13:00,2
2019-09-04 20:14:00,2
2019-09-04 20:15:00,2
2019-09-04 20:16:00,2
2019-09-04 20:17:00,3
2019-09-04 20:18:00,2
2019-09-04 20:19:00,1
2019-09-04 20:20:00,3
2019-09-04 20:21:00,2
2019-09-04 20:22:00,3
2019-09-04 20:23:00,2
2019-09-04 20:24:00,2
2019-09-04 20:25:00,2
2019-09-04 20:26:00,2
2019-09-04 20:27:00,2
2019-09-04 20:28:00,2
2019-09-04 20:29:00,3
2019-09-04 20:30:00,1
2019-09-04 20:31:00,3
2019-09-04 20:32:00,3
2019-09-04 20:33:00,2
2019-09-04 20:34:00,2
2019-09-04 20:35:00,2
2019-09-04 20:36:00,2
2019-09-04 20:37:00,2
2019-09-04 20:38:00,3
2019-09-04 20:39:00,2
