2,"SELECT p.specObjID, s.subclass, s.spectroFlux_u, s.spectroFlux_g, s.spectroFlux_r, s.spectroFlux_i, s.spectroFlux_z into mydb.MyTable_# from photoObjAll as p, SpecObjAll as s WHERE   p.specObjID = s.specObjID    and p.g < # and p.r < #    and p.g - p.r < #   and s.class = &&&"
2019-09-04 16:16:00,1
2019-09-04 16:17:00,1
