18,"SELECT p.objId,p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid,s.velDisp FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > #   and p.ra between # and #   and s.z between # and #   and p.g < #"
2019-11-27 07:17:00,1
2019-11-27 07:45:00,1
2019-11-27 08:10:00,1
2019-11-27 08:11:00,2
2019-11-27 08:13:00,2
2019-11-27 08:20:00,1
2019-11-27 08:24:00,1
2019-11-27 08:26:00,1
2019-11-27 10:12:00,2
2019-11-27 10:15:00,1
2019-11-27 14:47:00,1
2019-11-27 15:07:00,3
2019-11-27 15:08:00,1
