69,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-11-27 02:27:00,2
2019-11-27 02:28:00,1
2019-11-27 05:37:00,2
2019-11-27 07:05:00,1
2019-11-27 07:58:00,1
2019-11-27 08:48:00,1
2019-11-27 08:52:00,3
2019-11-27 09:28:00,1
2019-11-27 09:29:00,2
2019-11-27 09:30:00,1
2019-11-27 09:31:00,1
2019-11-27 09:34:00,1
2019-11-27 09:35:00,2
2019-11-27 09:36:00,1
2019-11-27 09:37:00,1
2019-11-27 09:38:00,1
2019-11-27 12:16:00,1
2019-11-27 12:33:00,1
2019-11-27 12:40:00,1
2019-11-27 12:44:00,1
2019-11-27 12:47:00,1
2019-11-27 12:48:00,2
2019-11-27 13:00:00,1
2019-11-27 13:05:00,1
2019-11-27 13:07:00,1
2019-11-27 13:09:00,1
2019-11-27 13:10:00,1
2019-11-27 13:11:00,1
2019-11-27 13:15:00,2
2019-11-27 13:21:00,2
2019-11-27 13:25:00,1
2019-11-27 13:27:00,2
2019-11-27 13:43:00,1
2019-11-27 13:45:00,1
2019-11-27 13:48:00,1
2019-11-27 13:52:00,1
2019-11-27 13:58:00,1
2019-11-27 14:01:00,4
2019-11-27 14:05:00,1
2019-11-27 14:06:00,2
2019-11-27 14:08:00,1
2019-11-27 14:16:00,2
2019-11-27 14:18:00,1
2019-11-27 14:24:00,1
2019-11-27 14:26:00,1
2019-11-27 15:35:00,1
2019-11-27 15:44:00,1
2019-11-27 16:10:00,1
2019-11-27 16:26:00,1
2019-11-27 16:39:00,1
2019-11-27 17:15:00,1
2019-11-27 17:22:00,1
2019-11-27 17:34:00,1
2019-11-27 17:51:00,1
