5,"SELECT s.plate, s.mjd, s.fiberId, s.z,p.sigmaStars FROM specObj AS s JOIN emissionLinesPort AS p ON p.specObjID = s.specObjID WHERE s.class = QSO and"
2019-11-27 13:17:00,2
2019-11-27 13:18:00,2
2019-11-27 13:19:00,1
