43,select * from wise_xmatch x join wise_allsky a on x.wise_cntr=a.cntr where x.sdss_objid=#
2019-11-27 00:16:00,3
2019-11-27 09:38:00,1
2019-11-27 12:09:00,2
2019-11-27 14:57:00,1
2019-11-27 16:15:00,1
2019-11-27 16:35:00,1
2019-11-27 16:47:00,1
2019-11-27 17:08:00,1
2019-11-27 17:11:00,1
2019-11-27 17:12:00,1
2019-11-27 17:16:00,1
2019-11-27 17:40:00,1
2019-11-27 19:01:00,1
2019-11-27 21:05:00,5
2019-11-27 21:06:00,7
2019-11-27 21:23:00,1
2019-11-27 21:28:00,1
2019-11-27 21:34:00,1
2019-11-27 21:43:00,1
2019-11-27 22:12:00,1
2019-11-27 22:15:00,1
2019-11-27 22:27:00,1
2019-11-27 22:30:00,1
2019-11-27 22:35:00,1
2019-11-27 22:48:00,1
2019-11-27 22:51:00,1
2019-11-27 22:59:00,1
2019-11-27 23:08:00,1
2019-11-27 23:50:00,1
2019-11-27 23:58:00,1
