12,"select p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoPrimary AS p WHERE type=# AND ((flags_r & #) != #)AND ((flags_r & #) = #)AND (((flags_r & #) = #) or (psfmagerr_g <= #))AND (((flags_r & #) = #) or (flags_r & #) = #)AND p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) ORDER BY p.objid"
2019-11-27 04:37:00,1
2019-11-27 05:03:00,1
2019-11-27 15:23:00,1
2019-11-27 15:26:00,1
2019-11-27 15:27:00,1
2019-11-27 15:30:00,1
2019-11-27 16:13:00,1
2019-11-27 22:22:00,1
2019-11-27 22:29:00,1
2019-11-27 22:35:00,1
2019-11-27 22:36:00,1
2019-11-27 22:38:00,1
