389,"SELECT TOP # p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, s.elodieTEff,  s.elodieLogG, s.elodieFeH, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err, p.b AS b, p.l as l FROM photoObj p JOIN segue1SpecObjAll s ON s.bestObjID = p.objid WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > # AND p.b BETWEEN # AND #"
2019-11-27 15:41:00,4
2019-11-27 15:42:00,28
2019-11-27 15:43:00,7
2019-11-27 15:44:00,7
2019-11-27 15:45:00,7
2019-11-27 15:46:00,7
2019-11-27 15:47:00,7
2019-11-27 15:48:00,8
2019-11-27 15:49:00,9
2019-11-27 15:50:00,9
2019-11-27 15:51:00,8
2019-11-27 15:52:00,8
2019-11-27 15:53:00,7
2019-11-27 15:54:00,7
2019-11-27 15:55:00,7
2019-11-27 15:56:00,8
2019-11-27 15:57:00,7
2019-11-27 15:58:00,7
2019-11-27 15:59:00,8
2019-11-27 16:00:00,7
2019-11-27 16:01:00,6
2019-11-27 16:02:00,8
2019-11-27 16:03:00,7
2019-11-27 16:04:00,7
2019-11-27 16:05:00,7
2019-11-27 16:06:00,7
2019-11-27 16:07:00,7
2019-11-27 16:08:00,7
2019-11-27 16:09:00,7
2019-11-27 16:10:00,7
2019-11-27 16:11:00,8
2019-11-27 16:12:00,7
2019-11-27 16:13:00,7
2019-11-27 16:14:00,7
2019-11-27 16:15:00,7
2019-11-27 16:16:00,7
2019-11-27 16:17:00,7
2019-11-27 16:18:00,7
2019-11-27 16:19:00,7
2019-11-27 16:20:00,7
2019-11-27 16:21:00,7
2019-11-27 16:22:00,8
2019-11-27 16:23:00,7
2019-11-27 16:24:00,7
2019-11-27 16:25:00,7
2019-11-27 16:26:00,7
2019-11-27 16:27:00,7
2019-11-27 16:28:00,7
2019-11-27 16:29:00,7
2019-11-27 16:30:00,8
2019-11-27 16:31:00,7
2019-11-27 16:32:00,2
