267,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-11-27 00:15:00,2
2019-11-27 06:20:00,22
2019-11-27 07:35:00,3
2019-11-27 09:10:00,1
2019-11-27 09:30:00,2
2019-11-27 09:50:00,35
2019-11-27 12:30:00,1
2019-11-27 12:40:00,37
2019-11-27 12:41:00,4
2019-11-27 15:15:00,1
2019-11-27 15:16:00,6
2019-11-27 15:25:00,18
2019-11-27 18:15:00,2
2019-11-27 18:20:00,1
2019-11-27 18:24:00,3
2019-11-27 18:30:00,33
2019-11-27 18:31:00,32
2019-11-27 18:32:00,34
2019-11-27 18:33:00,27
2019-11-27 21:35:00,3
