25,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-11-27 01:11:00,1
2019-11-27 05:10:00,1
2019-11-27 05:14:00,4
2019-11-27 05:27:00,1
2019-11-27 05:36:00,2
2019-11-27 05:39:00,1
2019-11-27 05:40:00,1
2019-11-27 06:29:00,2
2019-11-27 06:35:00,1
2019-11-27 06:37:00,1
2019-11-27 07:35:00,1
2019-11-27 08:28:00,1
2019-11-27 08:29:00,2
2019-11-27 11:07:00,1
2019-11-27 12:33:00,1
2019-11-27 18:21:00,1
2019-11-27 18:25:00,1
2019-11-27 18:52:00,1
2019-11-27 20:25:00,1
