318,"SELECT p.ra, p.dec, p.psfmag_g, f.mjd_g, n.distance*# FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p, Field f WHERE n.objID = p.objID and f.fieldID = p.fieldID"
2019-12-10 18:13:00,7
2019-12-10 18:19:00,14
2019-12-10 18:20:00,13
2019-12-10 19:44:00,20
2019-12-10 19:51:00,20
2019-12-10 19:56:00,9
2019-12-10 19:57:00,11
2019-12-10 20:10:00,12
2019-12-10 20:11:00,8
2019-12-10 20:38:00,20
2019-12-10 20:43:00,19
2019-12-10 20:44:00,1
2019-12-10 20:45:00,20
2019-12-10 20:46:00,11
2019-12-10 20:47:00,9
2019-12-10 20:58:00,4
2019-12-10 20:59:00,16
2019-12-10 21:00:00,20
2019-12-10 21:02:00,20
2019-12-10 21:04:00,1
2019-12-10 21:07:00,1
2019-12-10 21:09:00,1
2019-12-10 21:10:00,2
2019-12-10 21:11:00,17
2019-12-10 21:12:00,1
2019-12-10 21:18:00,6
2019-12-10 21:19:00,14
2019-12-10 21:29:00,2
2019-12-10 21:30:00,12
2019-12-10 21:31:00,7
