19,"SELECT  p.cModelMag_g,  p.cModelMag_r,   p.cModelMag_i,   p.cModelMag_z,   p.cModelMagErr_g,   p.cModelMagErr_r,   p.cModelMagErr_i,   p.cModelMagErr_z,   p.objID,  p.ra,   p.dec,   s.z,   s.zErr,   s.ra,   s.dec,  pz.z,   pz.zErr into mydb.SDSS2# from Galaxy as p LEFT JOIN SpecPhotoAll as s ON p.objID = s.objID LEFT JOIN Photoz as pz ON p.objID = pz.objID   WHERE pz.z <= # AND # <= p.ra AND p.ra < #"
2019-12-10 01:32:00,1
2019-12-10 01:36:00,1
2019-12-10 01:40:00,1
2019-12-10 01:44:00,1
2019-12-10 01:48:00,1
2019-12-10 01:52:00,1
2019-12-10 01:58:00,1
2019-12-10 02:02:00,1
2019-12-10 02:07:00,1
2019-12-10 02:11:00,1
2019-12-10 02:15:00,1
2019-12-10 02:18:00,1
2019-12-10 02:21:00,1
2019-12-10 02:24:00,1
2019-12-10 02:27:00,1
2019-12-10 02:29:00,1
2019-12-10 02:31:00,1
2019-12-10 02:33:00,1
2019-12-10 02:35:00,1
