3,"select objra,objdec,nsa_z,mangaid, plateifu, ifudesign, nsa_sersic_ba, sfr_#re, nsa_sersic_th5# FROM mangaDRPall where objdec >=#"
2019-12-10 19:38:00,2
2019-12-10 19:40:00,1
