3182,"select  	r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip,  	r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax,  	r.mu, r.nu, r.incl, r.node, 	r.a, r.b, r.c, r.d, r.e, r.f,  	f.quality, 	f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, 	f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, 	f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, 	f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, 	f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z,   dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as u_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as g_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as r_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as i_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as z_url   from dbo.fGetNearbyFrameEq(#,#,#,#) n, Frame r, Field f   where f.fieldId=r.fieldId and r.fieldId=n.fieldId and r.zoom=#"
2019-12-10 05:03:00,5
2019-12-10 05:09:00,2
2019-12-10 05:11:00,8
2019-12-10 05:12:00,5
2019-12-10 05:13:00,3
2019-12-10 05:19:00,2
2019-12-10 05:20:00,1
2019-12-10 05:21:00,8
2019-12-10 05:22:00,6
2019-12-10 05:23:00,4
2019-12-10 05:24:00,4
2019-12-10 05:28:00,4
2019-12-10 05:29:00,2
2019-12-10 05:31:00,8
2019-12-10 05:32:00,5
2019-12-10 05:33:00,3
2019-12-10 05:34:00,2
2019-12-10 05:35:00,5
2019-12-10 05:39:00,2
2019-12-10 05:41:00,18
2019-12-10 05:42:00,5
2019-12-10 05:43:00,8
2019-12-10 05:45:00,4
2019-12-10 05:47:00,1
2019-12-10 05:49:00,2
2019-12-10 05:51:00,8
2019-12-10 05:52:00,10
2019-12-10 05:53:00,3
2019-12-10 05:59:00,2
2019-12-10 06:01:00,12
2019-12-10 06:02:00,5
2019-12-10 06:03:00,2
2019-12-10 06:04:00,9
2019-12-10 06:09:00,2
2019-12-10 06:11:00,8
2019-12-10 06:12:00,5
2019-12-10 06:13:00,3
2019-12-10 06:15:00,5
2019-12-10 06:16:00,5
2019-12-10 06:17:00,8
2019-12-10 06:19:00,2
2019-12-10 06:21:00,8
2019-12-10 06:22:00,5
2019-12-10 06:23:00,3
2019-12-10 06:24:00,1
2019-12-10 06:26:00,1
2019-12-10 06:28:00,1
2019-12-10 06:29:00,2
2019-12-10 06:31:00,8
2019-12-10 06:32:00,5
2019-12-10 06:33:00,1
2019-12-10 06:34:00,4
2019-12-10 06:36:00,1
2019-12-10 06:39:00,3
2019-12-10 06:41:00,13
2019-12-10 06:42:00,5
2019-12-10 06:43:00,1
2019-12-10 06:44:00,2
2019-12-10 06:45:00,3
2019-12-10 06:46:00,5
2019-12-10 06:49:00,2
2019-12-10 06:51:00,8
2019-12-10 06:52:00,5
2019-12-10 06:53:00,1
2019-12-10 06:54:00,2
2019-12-10 06:59:00,2
2019-12-10 07:01:00,8
2019-12-10 07:02:00,5
2019-12-10 07:03:00,1
2019-12-10 07:04:00,2
2019-12-10 07:09:00,2
2019-12-10 07:11:00,8
2019-12-10 07:12:00,5
2019-12-10 07:13:00,1
2019-12-10 07:14:00,2
2019-12-10 07:19:00,2
2019-12-10 07:21:00,8
2019-12-10 07:22:00,5
2019-12-10 07:23:00,1
2019-12-10 07:24:00,2
2019-12-10 07:29:00,2
2019-12-10 07:31:00,8
2019-12-10 07:32:00,9
2019-12-10 07:34:00,5
2019-12-10 07:39:00,2
2019-12-10 07:41:00,13
2019-12-10 07:42:00,5
2019-12-10 07:43:00,1
2019-12-10 07:44:00,2
2019-12-10 07:45:00,4
2019-12-10 07:46:00,4
2019-12-10 07:49:00,7
2019-12-10 07:51:00,12
2019-12-10 07:52:00,5
2019-12-10 07:54:00,7
2019-12-10 07:59:00,2
2019-12-10 08:00:00,4
2019-12-10 08:01:00,8
2019-12-10 08:02:00,5
2019-12-10 08:03:00,4
2019-12-10 08:04:00,3
2019-12-10 08:07:00,5
2019-12-10 08:09:00,2
2019-12-10 08:11:00,8
2019-12-10 08:12:00,10
2019-12-10 08:14:00,8
2019-12-10 08:15:00,5
2019-12-10 08:18:00,4
2019-12-10 08:19:00,2
2019-12-10 08:20:00,5
2019-12-10 08:21:00,8
2019-12-10 08:22:00,5
2019-12-10 08:24:00,3
2019-12-10 08:27:00,5
2019-12-10 08:29:00,2
2019-12-10 08:31:00,8
2019-12-10 08:32:00,5
2019-12-10 08:33:00,10
2019-12-10 08:34:00,5
2019-12-10 08:35:00,4
2019-12-10 08:36:00,1
2019-12-10 08:37:00,4
2019-12-10 08:38:00,4
2019-12-10 08:39:00,2
2019-12-10 08:41:00,18
2019-12-10 08:42:00,5
2019-12-10 08:44:00,9
2019-12-10 08:45:00,7
2019-12-10 08:46:00,5
2019-12-10 08:49:00,7
2019-12-10 08:50:00,5
2019-12-10 08:51:00,8
2019-12-10 08:52:00,10
2019-12-10 08:54:00,8
2019-12-10 08:55:00,4
2019-12-10 08:56:00,5
2019-12-10 08:58:00,5
2019-12-10 08:59:00,2
2019-12-10 09:01:00,13
2019-12-10 09:02:00,5
2019-12-10 09:04:00,3
2019-12-10 09:09:00,2
2019-12-10 09:11:00,8
2019-12-10 09:12:00,15
2019-12-10 09:14:00,3
2019-12-10 09:15:00,6
2019-12-10 09:16:00,1
2019-12-10 09:19:00,2
2019-12-10 09:21:00,13
2019-12-10 09:22:00,5
2019-12-10 09:24:00,6
2019-12-10 09:25:00,5
2019-12-10 09:26:00,5
2019-12-10 09:28:00,4
2019-12-10 09:29:00,2
2019-12-10 09:30:00,5
2019-12-10 09:31:00,8
2019-12-10 09:32:00,5
2019-12-10 09:34:00,5
2019-12-10 09:35:00,5
2019-12-10 09:36:00,2
2019-12-10 09:37:00,4
2019-12-10 09:38:00,3
2019-12-10 09:39:00,2
2019-12-10 09:41:00,18
2019-12-10 09:42:00,5
2019-12-10 09:44:00,3
2019-12-10 09:45:00,4
2019-12-10 09:49:00,2
2019-12-10 09:51:00,13
2019-12-10 09:52:00,10
2019-12-10 09:53:00,5
2019-12-10 09:54:00,3
2019-12-10 09:59:00,6
2019-12-10 10:01:00,8
2019-12-10 10:02:00,5
2019-12-10 10:03:00,1
2019-12-10 10:04:00,3
2019-12-10 10:08:00,1
2019-12-10 10:09:00,3
2019-12-10 10:11:00,8
2019-12-10 10:12:00,5
2019-12-10 10:14:00,3
2019-12-10 10:16:00,5
2019-12-10 10:19:00,2
2019-12-10 10:20:00,1
2019-12-10 10:21:00,12
2019-12-10 10:22:00,5
2019-12-10 10:24:00,3
2019-12-10 10:27:00,7
2019-12-10 10:28:00,4
2019-12-10 10:29:00,2
2019-12-10 10:30:00,6
2019-12-10 10:31:00,8
2019-12-10 10:33:00,5
2019-12-10 10:34:00,5
2019-12-10 10:36:00,5
2019-12-10 10:39:00,2
2019-12-10 10:41:00,13
2019-12-10 10:43:00,5
2019-12-10 10:44:00,3
2019-12-10 10:46:00,4
2019-12-10 10:49:00,2
2019-12-10 10:51:00,8
2019-12-10 10:53:00,5
2019-12-10 10:54:00,3
2019-12-10 10:59:00,2
2019-12-10 11:00:00,15
2019-12-10 11:01:00,13
2019-12-10 11:02:00,10
2019-12-10 11:03:00,5
2019-12-10 11:04:00,3
2019-12-10 11:06:00,5
2019-12-10 11:08:00,5
2019-12-10 11:09:00,2
2019-12-10 11:10:00,9
2019-12-10 11:11:00,8
2019-12-10 11:12:00,5
2019-12-10 11:13:00,10
2019-12-10 11:14:00,7
2019-12-10 11:18:00,4
2019-12-10 11:19:00,3
2019-12-10 11:21:00,8
2019-12-10 11:23:00,5
2019-12-10 11:24:00,3
2019-12-10 11:29:00,2
2019-12-10 11:31:00,8
2019-12-10 11:33:00,5
2019-12-10 11:34:00,5
2019-12-10 11:39:00,2
2019-12-10 11:40:00,1
2019-12-10 11:41:00,15
2019-12-10 11:43:00,5
2019-12-10 11:44:00,3
2019-12-10 11:45:00,3
2019-12-10 11:46:00,1
2019-12-10 11:49:00,6
2019-12-10 11:51:00,8
2019-12-10 11:53:00,5
2019-12-10 11:54:00,3
2019-12-10 11:59:00,2
2019-12-10 12:01:00,8
2019-12-10 12:03:00,5
2019-12-10 12:04:00,3
2019-12-10 12:07:00,4
2019-12-10 12:09:00,2
2019-12-10 12:11:00,8
2019-12-10 12:12:00,4
2019-12-10 12:13:00,5
2019-12-10 12:14:00,3
2019-12-10 12:19:00,2
2019-12-10 12:21:00,12
2019-12-10 12:22:00,5
2019-12-10 12:23:00,5
2019-12-10 12:24:00,3
2019-12-10 12:25:00,4
2019-12-10 12:27:00,9
2019-12-10 12:29:00,2
2019-12-10 12:31:00,8
2019-12-10 12:33:00,6
2019-12-10 12:34:00,10
2019-12-10 12:39:00,2
2019-12-10 12:40:00,4
2019-12-10 12:41:00,18
2019-12-10 12:43:00,5
2019-12-10 12:44:00,8
2019-12-10 12:45:00,4
2019-12-10 12:49:00,2
2019-12-10 12:51:00,8
2019-12-10 12:53:00,5
2019-12-10 12:54:00,3
2019-12-10 12:57:00,5
2019-12-10 12:59:00,2
2019-12-10 13:01:00,8
2019-12-10 13:03:00,5
2019-12-10 13:04:00,3
2019-12-10 13:09:00,2
2019-12-10 13:11:00,8
2019-12-10 13:13:00,5
2019-12-10 13:14:00,3
2019-12-10 13:19:00,2
2019-12-10 13:21:00,8
2019-12-10 13:23:00,5
2019-12-10 13:24:00,3
2019-12-10 13:27:00,4
2019-12-10 13:29:00,2
2019-12-10 13:31:00,8
2019-12-10 13:33:00,5
2019-12-10 13:34:00,5
2019-12-10 13:37:00,5
2019-12-10 13:39:00,2
2019-12-10 13:41:00,18
2019-12-10 13:43:00,10
2019-12-10 13:44:00,3
2019-12-10 13:45:00,4
2019-12-10 13:49:00,2
2019-12-10 13:51:00,12
2019-12-10 13:53:00,5
2019-12-10 13:54:00,7
2019-12-10 13:56:00,4
2019-12-10 13:59:00,2
2019-12-10 14:01:00,8
2019-12-10 14:03:00,9
2019-12-10 14:04:00,3
2019-12-10 14:08:00,4
2019-12-10 14:09:00,2
2019-12-10 14:11:00,8
2019-12-10 14:13:00,5
2019-12-10 14:14:00,3
2019-12-10 14:19:00,2
2019-12-10 14:21:00,8
2019-12-10 14:23:00,5
2019-12-10 14:24:00,3
2019-12-10 14:29:00,2
2019-12-10 14:31:00,8
2019-12-10 14:33:00,5
2019-12-10 14:34:00,5
2019-12-10 14:39:00,2
2019-12-10 14:41:00,13
2019-12-10 14:43:00,5
2019-12-10 14:44:00,3
2019-12-10 14:45:00,4
2019-12-10 14:49:00,2
2019-12-10 14:51:00,8
2019-12-10 14:53:00,5
2019-12-10 14:54:00,3
2019-12-10 14:59:00,2
2019-12-10 15:01:00,8
2019-12-10 15:03:00,5
2019-12-10 15:04:00,3
2019-12-10 15:09:00,2
2019-12-10 15:10:00,7
2019-12-10 15:11:00,8
2019-12-10 15:13:00,5
2019-12-10 15:14:00,3
2019-12-10 15:19:00,2
2019-12-10 15:21:00,8
2019-12-10 15:23:00,5
2019-12-10 15:24:00,3
2019-12-10 15:29:00,2
2019-12-10 15:30:00,4
2019-12-10 15:31:00,8
2019-12-10 15:33:00,5
2019-12-10 15:34:00,5
2019-12-10 15:38:00,4
2019-12-10 15:39:00,6
2019-12-10 15:41:00,13
2019-12-10 15:43:00,5
2019-12-10 15:44:00,3
2019-12-10 15:45:00,4
2019-12-10 15:48:00,4
2019-12-10 15:49:00,2
2019-12-10 15:51:00,8
2019-12-10 15:53:00,5
2019-12-10 15:54:00,3
2019-12-10 15:59:00,2
2019-12-10 16:01:00,8
2019-12-10 16:03:00,5
2019-12-10 16:04:00,3
2019-12-10 16:06:00,4
2019-12-10 16:09:00,2
2019-12-10 16:11:00,8
2019-12-10 16:13:00,5
2019-12-10 16:14:00,3
