44,select distinct parent from DBViewCols where viewname=&&&
2019-12-10 01:22:00,4
2019-12-10 02:12:00,1
2019-12-10 02:14:00,1
2019-12-10 02:19:00,1
2019-12-10 03:22:00,1
2019-12-10 03:37:00,1
2019-12-10 03:38:00,1
2019-12-10 04:42:00,1
2019-12-10 06:22:00,1
2019-12-10 06:33:00,1
2019-12-10 06:51:00,2
2019-12-10 07:29:00,1
2019-12-10 08:14:00,4
2019-12-10 11:08:00,2
2019-12-10 13:49:00,1
2019-12-10 14:29:00,1
2019-12-10 14:54:00,3
2019-12-10 15:06:00,1
2019-12-10 15:07:00,1
2019-12-10 15:26:00,1
2019-12-10 16:54:00,4
2019-12-10 16:55:00,2
2019-12-10 16:56:00,1
2019-12-10 17:15:00,3
2019-12-10 17:28:00,3
2019-12-10 22:53:00,1
