31296,"SELECT DISTINCT TOP # p.run, p.rerun, p.camcol, max(p.field) as &&&, max(p.ra) as &&&, max(p.dec) as &&& FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) GROUP BY p.run, p.rerun, p.camcol"
2019-12-10 00:00:00,56
2019-12-10 00:01:00,56
2019-12-10 00:02:00,45
2019-12-10 00:03:00,45
2019-12-10 00:04:00,55
2019-12-10 00:05:00,61
2019-12-10 00:06:00,33
2019-12-10 00:07:00,24
2019-12-10 00:08:00,37
2019-12-10 00:09:00,26
2019-12-10 00:10:00,17
2019-12-10 00:11:00,14
2019-12-10 00:12:00,31
2019-12-10 00:13:00,48
2019-12-10 00:14:00,19
2019-12-10 00:15:00,43
2019-12-10 00:16:00,54
2019-12-10 00:17:00,60
2019-12-10 00:18:00,23
2019-12-10 00:19:00,47
2019-12-10 00:20:00,32
2019-12-10 00:21:00,41
2019-12-10 00:22:00,29
2019-12-10 00:23:00,39
2019-12-10 00:24:00,49
2019-12-10 00:25:00,71
2019-12-10 00:26:00,74
2019-12-10 00:27:00,63
2019-12-10 00:28:00,89
2019-12-10 00:29:00,80
2019-12-10 00:30:00,89
2019-12-10 00:31:00,110
2019-12-10 00:32:00,74
2019-12-10 00:33:00,81
2019-12-10 00:34:00,81
2019-12-10 00:35:00,96
2019-12-10 00:36:00,89
2019-12-10 00:37:00,73
2019-12-10 00:38:00,96
2019-12-10 00:39:00,71
2019-12-10 00:40:00,79
2019-12-10 00:41:00,64
2019-12-10 00:42:00,67
2019-12-10 00:43:00,77
2019-12-10 00:44:00,90
2019-12-10 00:45:00,75
2019-12-10 00:46:00,73
2019-12-10 00:47:00,78
2019-12-10 00:48:00,67
2019-12-10 00:49:00,43
2019-12-10 00:50:00,72
2019-12-10 00:51:00,36
2019-12-10 00:52:00,25
2019-12-10 00:53:00,18
2019-12-10 00:54:00,52
2019-12-10 00:55:00,34
2019-12-10 00:56:00,41
2019-12-10 00:57:00,34
2019-12-10 00:58:00,41
2019-12-10 00:59:00,55
2019-12-10 01:00:00,40
2019-12-10 01:01:00,19
2019-12-10 01:02:00,24
2019-12-10 01:03:00,32
2019-12-10 01:04:00,29
2019-12-10 01:05:00,34
2019-12-10 01:06:00,47
2019-12-10 01:07:00,40
2019-12-10 01:08:00,71
2019-12-10 01:09:00,80
2019-12-10 01:10:00,95
2019-12-10 01:11:00,115
2019-12-10 01:12:00,90
2019-12-10 01:13:00,54
2019-12-10 01:14:00,52
2019-12-10 01:15:00,61
2019-12-10 01:16:00,97
2019-12-10 01:17:00,115
2019-12-10 01:18:00,96
2019-12-10 01:19:00,67
2019-12-10 01:20:00,58
2019-12-10 01:21:00,62
2019-12-10 01:22:00,41
2019-12-10 01:23:00,92
2019-12-10 01:24:00,79
2019-12-10 01:25:00,92
2019-12-10 01:26:00,99
2019-12-10 01:27:00,62
2019-12-10 01:28:00,100
2019-12-10 01:29:00,107
2019-12-10 01:30:00,67
2019-12-10 01:31:00,93
2019-12-10 01:32:00,58
2019-12-10 01:33:00,80
2019-12-10 01:34:00,84
2019-12-10 01:35:00,67
2019-12-10 01:36:00,86
2019-12-10 01:37:00,67
2019-12-10 01:38:00,71
2019-12-10 01:39:00,111
2019-12-10 01:40:00,70
2019-12-10 01:41:00,82
2019-12-10 01:42:00,99
2019-12-10 01:43:00,88
2019-12-10 01:44:00,71
2019-12-10 01:45:00,61
2019-12-10 01:46:00,59
2019-12-10 01:47:00,63
2019-12-10 01:48:00,60
2019-12-10 01:49:00,78
2019-12-10 01:50:00,84
2019-12-10 01:51:00,60
2019-12-10 01:52:00,70
2019-12-10 01:53:00,85
2019-12-10 01:54:00,52
2019-12-10 01:55:00,20
2019-12-10 01:56:00,52
2019-12-10 01:57:00,102
2019-12-10 01:58:00,93
2019-12-10 01:59:00,51
2019-12-10 02:00:00,23
2019-12-10 02:01:00,69
2019-12-10 02:02:00,69
2019-12-10 02:03:00,60
2019-12-10 02:04:00,113
2019-12-10 02:05:00,111
2019-12-10 02:06:00,118
2019-12-10 02:07:00,106
2019-12-10 02:08:00,107
2019-12-10 02:09:00,123
2019-12-10 02:10:00,98
2019-12-10 02:11:00,111
2019-12-10 02:12:00,84
2019-12-10 02:13:00,67
2019-12-10 02:14:00,86
2019-12-10 02:15:00,89
2019-12-10 02:16:00,82
2019-12-10 02:17:00,111
2019-12-10 02:18:00,106
2019-12-10 02:19:00,111
2019-12-10 02:20:00,102
2019-12-10 02:21:00,121
2019-12-10 02:22:00,114
2019-12-10 02:23:00,101
2019-12-10 02:24:00,105
2019-12-10 02:25:00,82
2019-12-10 02:26:00,104
2019-12-10 02:27:00,110
2019-12-10 02:28:00,106
2019-12-10 02:29:00,112
2019-12-10 02:30:00,97
2019-12-10 02:31:00,100
2019-12-10 02:32:00,94
2019-12-10 02:33:00,121
2019-12-10 02:34:00,101
2019-12-10 02:35:00,78
2019-12-10 02:36:00,121
2019-12-10 02:37:00,118
2019-12-10 02:38:00,112
2019-12-10 02:39:00,104
2019-12-10 02:40:00,114
2019-12-10 02:41:00,87
2019-12-10 02:42:00,58
2019-12-10 02:43:00,77
2019-12-10 02:44:00,63
2019-12-10 02:45:00,62
2019-12-10 02:46:00,65
2019-12-10 02:47:00,57
2019-12-10 02:48:00,57
2019-12-10 02:49:00,43
2019-12-10 02:50:00,52
2019-12-10 02:51:00,51
2019-12-10 02:52:00,33
2019-12-10 02:53:00,55
2019-12-10 02:54:00,45
2019-12-10 02:55:00,39
2019-12-10 02:56:00,38
2019-12-10 02:57:00,47
2019-12-10 02:58:00,52
2019-12-10 02:59:00,91
2019-12-10 03:00:00,55
2019-12-10 03:01:00,59
2019-12-10 03:02:00,57
2019-12-10 03:03:00,53
2019-12-10 03:04:00,63
2019-12-10 03:05:00,49
2019-12-10 03:06:00,55
2019-12-10 03:07:00,68
2019-12-10 03:08:00,56
2019-12-10 03:09:00,54
2019-12-10 03:10:00,43
2019-12-10 03:11:00,43
2019-12-10 03:12:00,25
2019-12-10 03:13:00,34
2019-12-10 03:14:00,41
