262,select * from PhotozRF where objid=#
2019-12-10 00:10:00,1
2019-12-10 00:14:00,1
2019-12-10 00:15:00,1
2019-12-10 00:18:00,1
2019-12-10 00:23:00,1
2019-12-10 00:46:00,1
2019-12-10 00:47:00,1
2019-12-10 01:19:00,1
2019-12-10 01:32:00,1
2019-12-10 01:44:00,1
2019-12-10 01:56:00,1
2019-12-10 01:58:00,1
2019-12-10 02:01:00,1
2019-12-10 02:08:00,1
2019-12-10 02:09:00,2
2019-12-10 02:12:00,1
2019-12-10 02:16:00,1
2019-12-10 02:23:00,2
2019-12-10 02:29:00,1
2019-12-10 02:32:00,1
2019-12-10 02:35:00,2
2019-12-10 02:45:00,1
2019-12-10 02:51:00,1
2019-12-10 02:59:00,1
2019-12-10 03:00:00,1
2019-12-10 03:02:00,1
2019-12-10 03:04:00,1
2019-12-10 03:16:00,1
2019-12-10 03:25:00,1
2019-12-10 03:33:00,2
2019-12-10 03:35:00,1
2019-12-10 03:39:00,2
2019-12-10 03:43:00,1
2019-12-10 04:01:00,1
2019-12-10 04:15:00,1
2019-12-10 04:24:00,1
2019-12-10 04:30:00,1
2019-12-10 04:41:00,1
2019-12-10 04:42:00,1
2019-12-10 04:51:00,1
2019-12-10 05:11:00,1
2019-12-10 05:17:00,1
2019-12-10 05:22:00,2
2019-12-10 05:34:00,1
2019-12-10 05:41:00,1
2019-12-10 05:42:00,1
2019-12-10 05:43:00,1
2019-12-10 05:45:00,1
2019-12-10 05:46:00,2
2019-12-10 05:48:00,1
2019-12-10 05:55:00,1
2019-12-10 06:01:00,1
2019-12-10 06:07:00,1
2019-12-10 06:11:00,1
2019-12-10 06:16:00,1
2019-12-10 06:20:00,1
2019-12-10 06:23:00,2
2019-12-10 06:32:00,1
2019-12-10 06:40:00,1
2019-12-10 06:43:00,1
2019-12-10 06:45:00,1
2019-12-10 06:47:00,1
2019-12-10 06:51:00,1
2019-12-10 06:53:00,1
2019-12-10 06:54:00,1
2019-12-10 06:59:00,1
2019-12-10 07:02:00,1
2019-12-10 07:09:00,1
2019-12-10 07:11:00,1
2019-12-10 07:17:00,1
2019-12-10 07:21:00,1
2019-12-10 07:32:00,1
2019-12-10 07:38:00,2
2019-12-10 07:39:00,1
2019-12-10 07:47:00,1
2019-12-10 07:51:00,1
2019-12-10 07:58:00,1
2019-12-10 08:00:00,1
2019-12-10 08:13:00,1
2019-12-10 08:22:00,1
2019-12-10 08:25:00,1
2019-12-10 08:26:00,1
2019-12-10 08:27:00,1
2019-12-10 08:28:00,1
2019-12-10 08:29:00,2
2019-12-10 08:36:00,1
2019-12-10 08:39:00,1
2019-12-10 08:56:00,2
2019-12-10 08:58:00,1
2019-12-10 09:14:00,1
2019-12-10 09:15:00,1
2019-12-10 09:23:00,1
2019-12-10 09:24:00,1
2019-12-10 09:26:00,1
2019-12-10 09:29:00,1
2019-12-10 09:32:00,1
2019-12-10 09:33:00,1
2019-12-10 09:38:00,1
2019-12-10 09:43:00,1
2019-12-10 09:45:00,1
2019-12-10 09:58:00,1
2019-12-10 10:00:00,1
2019-12-10 10:02:00,2
2019-12-10 10:16:00,1
2019-12-10 10:17:00,1
2019-12-10 10:21:00,1
2019-12-10 10:28:00,1
2019-12-10 10:32:00,1
