76,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, modelFlux_u, modelFlux_g, modelFlux_r, modelFlux_i, modelFlux_z, modelFluxIVar_u, modelFluxIVar_g, modelFluxIVar_r, modelFluxIVar_i, modelFluxIVar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-12-10 15:37:00,1
2019-12-10 15:38:00,4
2019-12-10 15:42:00,3
2019-12-10 15:43:00,2
2019-12-10 15:48:00,1
2019-12-10 15:49:00,1
2019-12-10 15:50:00,1
2019-12-10 15:52:00,1
2019-12-10 15:54:00,1
2019-12-10 17:14:00,1
2019-12-10 17:15:00,4
2019-12-10 17:16:00,3
2019-12-10 17:17:00,2
2019-12-10 17:18:00,1
2019-12-10 17:22:00,5
2019-12-10 17:23:00,5
2019-12-10 17:25:00,5
2019-12-10 17:26:00,2
2019-12-10 17:27:00,3
2019-12-10 17:28:00,5
2019-12-10 17:30:00,5
2019-12-10 17:31:00,4
2019-12-10 17:32:00,1
2019-12-10 17:33:00,5
2019-12-10 17:35:00,5
2019-12-10 17:36:00,5
