32,"SELECT f.aa_r,f.kk_r,f.airmass_r,f.gain_r,f.sky_r,f.skysig_r FROM PhotoObjAll as p JOIN Field as f ON (f.run=p.run AND f.rerun=p.rerun AND f.camcol=p.camcol AND f.field=p.field) WHERE p.objID=#"
2019-12-10 12:38:00,2
2019-12-10 12:39:00,3
2019-12-10 12:40:00,1
2019-12-10 12:45:00,1
2019-12-10 12:46:00,1
2019-12-10 12:48:00,3
2019-12-10 12:49:00,4
2019-12-10 12:50:00,1
2019-12-10 13:10:00,2
2019-12-10 13:13:00,1
2019-12-10 13:17:00,1
2019-12-10 13:23:00,1
2019-12-10 13:25:00,1
2019-12-10 13:27:00,1
2019-12-10 13:28:00,1
2019-12-10 13:38:00,1
2019-12-10 13:40:00,1
2019-12-10 13:44:00,1
2019-12-10 14:39:00,1
2019-12-10 14:57:00,2
2019-12-10 15:09:00,1
2019-12-10 15:10:00,1
