44,select * from fDocFunctionParams(&&&)
2019-12-10 01:50:00,1
2019-12-10 02:21:00,3
2019-12-10 03:53:00,1
2019-12-10 04:46:00,1
2019-12-10 07:16:00,1
2019-12-10 07:52:00,3
2019-12-10 09:33:00,3
2019-12-10 10:28:00,1
2019-12-10 10:36:00,2
2019-12-10 10:37:00,1
2019-12-10 10:41:00,1
2019-12-10 10:45:00,1
2019-12-10 11:25:00,1
2019-12-10 13:47:00,1
2019-12-10 15:22:00,1
2019-12-10 16:50:00,2
2019-12-10 17:17:00,3
2019-12-10 17:43:00,1
2019-12-10 18:19:00,3
2019-12-10 19:49:00,3
2019-12-10 19:52:00,1
2019-12-10 20:02:00,1
2019-12-10 21:14:00,3
2019-12-10 22:54:00,1
2019-12-10 23:34:00,1
2019-12-10 23:36:00,3
