102,"SELECT p.ra, p.dec, p.psfmag_u,p.psfmag_g,p.psfmag_r,p.psfmag_i,p.psfmag_z,f.mjd_g, n.distance*# FROM fGetNearbyObjEq(#,#,#/#) n, PhotoPrimary p, Field f WHERE n.objID = p.objID and f.fieldID = p.fieldID"
2019-12-10 18:41:00,3
2019-12-10 18:46:00,3
2019-12-10 18:52:00,1
2019-12-10 18:53:00,3
2019-12-10 18:54:00,6
2019-12-10 18:55:00,3
2019-12-10 18:56:00,7
2019-12-10 18:57:00,4
2019-12-10 18:58:00,1
2019-12-10 19:00:00,3
2019-12-10 19:06:00,1
2019-12-10 19:07:00,1
2019-12-10 19:08:00,1
2019-12-10 19:09:00,1
2019-12-10 19:16:00,2
2019-12-10 19:19:00,11
2019-12-10 19:20:00,11
2019-12-10 19:25:00,20
2019-12-10 19:27:00,5
2019-12-10 19:28:00,15
