152,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-12-10 15:37:00,4
2019-12-10 15:38:00,6
2019-12-10 15:42:00,7
2019-12-10 15:43:00,3
2019-12-10 15:46:00,2
2019-12-10 15:48:00,1
2019-12-10 15:49:00,1
2019-12-10 15:50:00,2
2019-12-10 15:51:00,2
2019-12-10 15:52:00,2
2019-12-10 17:14:00,4
2019-12-10 17:15:00,6
2019-12-10 17:16:00,7
2019-12-10 17:17:00,3
2019-12-10 17:18:00,2
2019-12-10 17:22:00,10
2019-12-10 17:23:00,10
2019-12-10 17:25:00,10
2019-12-10 17:26:00,4
2019-12-10 17:27:00,6
2019-12-10 17:28:00,10
2019-12-10 17:29:00,1
2019-12-10 17:30:00,9
2019-12-10 17:31:00,8
2019-12-10 17:32:00,2
2019-12-10 17:33:00,10
2019-12-10 17:34:00,1
2019-12-10 17:35:00,9
2019-12-10 17:36:00,10
