41,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i,p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq(#,#,#) n where p.objID = n.objID AND p.type = #"
2019-01-05 00:56:00,1
2019-01-05 00:57:00,1
2019-01-05 01:14:00,1
2019-01-05 01:19:00,1
2019-01-05 01:21:00,1
2019-01-05 01:43:00,1
2019-01-05 01:45:00,1
2019-01-05 02:10:00,1
2019-01-05 02:12:00,1
2019-01-05 02:13:00,1
2019-01-05 02:22:00,1
2019-01-05 02:23:00,1
2019-01-05 02:26:00,1
2019-01-05 02:28:00,1
2019-01-05 02:30:00,1
2019-01-05 02:32:00,1
2019-01-05 02:34:00,1
2019-01-05 02:36:00,1
2019-01-05 02:41:00,1
2019-01-05 02:45:00,1
2019-01-05 02:47:00,1
2019-01-05 02:49:00,1
2019-01-05 02:54:00,1
2019-01-05 02:59:00,1
2019-01-05 03:02:00,1
2019-01-05 03:07:00,1
2019-01-05 03:11:00,1
2019-01-05 03:15:00,1
2019-01-05 03:18:00,1
2019-01-05 03:20:00,1
2019-01-05 04:56:00,1
2019-01-05 04:57:00,1
2019-01-05 05:04:00,2
2019-01-05 05:06:00,2
2019-01-05 05:08:00,1
2019-01-05 05:15:00,1
2019-01-05 05:16:00,1
2019-01-05 05:17:00,1
2019-01-05 05:19:00,1
