14,"SELECT r, ra, dec FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # and (r < #) and (r > #)"
2019-01-05 08:30:00,1
2019-01-05 08:31:00,1
2019-01-05 10:04:00,3
2019-01-05 10:05:00,6
2019-01-05 10:06:00,3
