20,select * from wise_xmatch x join wise_allsky a on x.wise_cntr=a.cntr where x.sdss_objid=#
2019-01-05 00:19:00,1
2019-01-05 01:52:00,1
2019-01-05 06:17:00,1
2019-01-05 07:12:00,1
2019-01-05 07:17:00,1
2019-01-05 07:48:00,1
2019-01-05 08:50:00,2
2019-01-05 09:15:00,1
2019-01-05 11:00:00,1
2019-01-05 11:41:00,1
2019-01-05 12:23:00,1
2019-01-05 12:42:00,1
2019-01-05 13:21:00,1
2019-01-05 15:14:00,1
2019-01-05 18:34:00,1
2019-01-05 20:47:00,1
2019-01-05 22:26:00,2
2019-01-05 22:56:00,1
