137,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-07-06 00:46:00,1
2019-07-06 01:46:00,1
2019-07-06 01:54:00,2
2019-07-06 01:55:00,1
2019-07-06 02:13:00,1
2019-07-06 02:14:00,1
2019-07-06 02:46:00,1
2019-07-06 03:27:00,1
2019-07-06 03:28:00,2
2019-07-06 03:45:00,1
2019-07-06 04:13:00,7
2019-07-06 04:35:00,7
2019-07-06 04:46:00,1
2019-07-06 05:45:00,1
2019-07-06 06:45:00,1
2019-07-06 06:50:00,1
2019-07-06 07:18:00,9
2019-07-06 07:46:00,1
2019-07-06 08:45:00,1
2019-07-06 09:15:00,9
2019-07-06 09:16:00,26
2019-07-06 09:20:00,1
2019-07-06 09:25:00,1
2019-07-06 09:27:00,1
2019-07-06 09:30:00,1
2019-07-06 09:36:00,1
2019-07-06 09:45:00,1
2019-07-06 09:54:00,14
2019-07-06 09:58:00,1
2019-07-06 09:59:00,1
2019-07-06 10:20:00,9
2019-07-06 10:45:00,1
2019-07-06 11:45:00,1
2019-07-06 12:45:00,1
2019-07-06 13:22:00,1
2019-07-06 13:45:00,1
2019-07-06 13:47:00,1
2019-07-06 14:44:00,1
2019-07-06 15:45:00,1
2019-07-06 16:24:00,9
2019-07-06 16:47:00,1
2019-07-06 17:45:00,1
2019-07-06 18:45:00,1
2019-07-06 19:46:00,1
2019-07-06 20:00:00,1
2019-07-06 20:01:00,8
