109,select
2019-07-06 00:05:00,3
2019-07-06 00:29:00,3
2019-07-06 00:56:00,3
2019-07-06 01:23:00,3
2019-07-06 02:18:00,2
2019-07-06 02:19:00,1
2019-07-06 04:09:00,3
2019-07-06 04:37:00,3
2019-07-06 05:34:00,3
2019-07-06 06:05:00,3
2019-07-06 08:29:00,3
2019-07-06 08:58:00,3
2019-07-06 09:27:00,1
2019-07-06 09:46:00,3
2019-07-06 10:10:00,3
2019-07-06 10:19:00,3
2019-07-06 10:33:00,3
2019-07-06 10:42:00,3
2019-07-06 10:52:00,3
2019-07-06 11:01:00,3
2019-07-06 11:10:00,1
2019-07-06 11:11:00,2
2019-07-06 11:19:00,3
2019-07-06 11:59:00,3
2019-07-06 12:07:00,3
2019-07-06 12:44:00,3
2019-07-06 12:54:00,3
2019-07-06 13:17:00,3
2019-07-06 14:12:00,1
2019-07-06 14:13:00,2
2019-07-06 14:41:00,3
2019-07-06 15:08:00,3
2019-07-06 15:36:00,3
2019-07-06 17:07:00,3
2019-07-06 17:36:00,2
2019-07-06 17:37:00,1
2019-07-06 18:34:00,3
2019-07-06 20:03:00,3
2019-07-06 22:11:00,3
2019-07-06 22:37:00,3
2019-07-06 23:11:00,3
