3,"select statement: ,# #,#,#,#,#,#,#,#/#/# #:#:# PM,#,#.#,preprod.skyserver.sdss.org,SDSS3U,BestDR1#,SkyserverWS.SearchTools.RadialSearch,#,#E-#,#,SELECT TOP # p.objid"
2019-12-08 20:55:00,2
2019-12-08 21:05:00,1
