222,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-12-08 01:09:00,6
2019-12-08 01:10:00,6
2019-12-08 08:42:00,1
2019-12-08 08:44:00,2
2019-12-08 08:57:00,2
2019-12-08 09:02:00,2
2019-12-08 10:59:00,2
2019-12-08 16:00:00,3
2019-12-08 16:01:00,3
2019-12-08 16:02:00,4
2019-12-08 16:03:00,2
2019-12-08 16:04:00,4
2019-12-08 16:06:00,2
2019-12-08 16:07:00,4
2019-12-08 16:09:00,4
2019-12-08 16:11:00,4
2019-12-08 16:17:00,4
2019-12-08 16:18:00,4
2019-12-08 16:20:00,7
2019-12-08 16:21:00,3
2019-12-08 16:22:00,4
2019-12-08 16:23:00,6
2019-12-08 16:24:00,2
2019-12-08 16:25:00,8
2019-12-08 16:26:00,4
2019-12-08 16:27:00,8
2019-12-08 16:28:00,4
2019-12-08 16:29:00,6
2019-12-08 16:30:00,6
2019-12-08 16:31:00,6
2019-12-08 16:32:00,8
2019-12-08 16:33:00,6
2019-12-08 16:34:00,2
2019-12-08 16:35:00,8
2019-12-08 16:36:00,8
2019-12-08 16:37:00,4
2019-12-08 16:38:00,4
2019-12-08 16:39:00,5
2019-12-08 16:40:00,3
2019-12-08 16:42:00,4
2019-12-08 16:43:00,6
2019-12-08 16:44:00,4
2019-12-08 16:45:00,4
2019-12-08 16:46:00,4
2019-12-08 16:47:00,8
2019-12-08 16:48:00,3
2019-12-08 16:49:00,7
2019-12-08 16:50:00,8
2019-12-08 16:51:00,2
2019-12-08 19:11:00,1
