3,"SELECT p.ra, p.dec, p.psfmag_r   FROM PhotoPrimary p   WHERE p.ra BETWEEN # and #   and p.dec BETWEEN #and6#   and p.psfmag_r < #.   and p.type = #"
2019-12-08 07:17:00,1
2019-12-08 07:19:00,1
2019-12-08 07:20:00,1
