64,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-12-08 06:09:00,2
2019-12-08 06:10:00,3
2019-12-08 06:11:00,2
2019-12-08 06:12:00,3
2019-12-08 06:13:00,2
2019-12-08 06:14:00,3
2019-12-08 06:15:00,2
2019-12-08 06:16:00,3
2019-12-08 06:17:00,2
2019-12-08 06:18:00,3
2019-12-08 06:19:00,2
2019-12-08 06:20:00,2
2019-12-08 06:21:00,3
2019-12-08 06:22:00,2
2019-12-08 06:23:00,3
2019-12-08 06:24:00,2
2019-12-08 06:25:00,3
2019-12-08 06:26:00,2
2019-12-08 06:27:00,2
2019-12-08 06:28:00,1
2019-12-08 06:38:00,2
2019-12-08 06:39:00,2
2019-12-08 06:40:00,3
2019-12-08 06:41:00,2
2019-12-08 06:42:00,2
2019-12-08 06:43:00,1
2019-12-08 06:45:00,3
2019-12-08 07:14:00,1
2019-12-08 07:22:00,1
