1173,"SELECT DISTINCT TOP # p.run, p.rerun, p.camcol, max(p.field) as &&&, max(p.ra) as &&&, max(p.dec) as &&& FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) GROUP BY p.run, p.rerun, p.camcol"
2019-12-08 00:00:00,28
2019-12-08 00:01:00,26
2019-12-08 00:02:00,34
2019-12-08 00:03:00,6
2019-12-08 00:04:00,28
2019-12-08 00:05:00,16
2019-12-08 00:06:00,14
2019-12-08 00:07:00,1
2019-12-08 00:08:00,8
2019-12-08 00:09:00,1
2019-12-08 00:10:00,23
2019-12-08 00:12:00,18
2019-12-08 00:13:00,7
2019-12-08 00:14:00,20
2019-12-08 00:15:00,26
2019-12-08 00:16:00,15
2019-12-08 00:18:00,20
2019-12-08 00:20:00,8
2019-12-08 00:21:00,7
2019-12-08 00:22:00,23
2019-12-08 00:23:00,20
2019-12-08 00:25:00,15
2019-12-08 00:26:00,10
2019-12-08 00:27:00,13
2019-12-08 00:28:00,9
2019-12-08 00:29:00,2
2019-12-08 00:30:00,9
2019-12-08 00:31:00,24
2019-12-08 00:33:00,18
2019-12-08 00:34:00,22
2019-12-08 00:35:00,13
2019-12-08 00:36:00,15
2019-12-08 00:37:00,12
2019-12-08 00:38:00,18
2019-12-08 00:39:00,16
2019-12-08 00:40:00,13
2019-12-08 00:41:00,4
2019-12-08 00:42:00,26
2019-12-08 00:43:00,18
2019-12-08 00:44:00,7
2019-12-08 00:45:00,16
2019-12-08 00:46:00,7
2019-12-08 00:47:00,40
2019-12-08 00:48:00,5
2019-12-08 00:50:00,14
2019-12-08 00:51:00,37
2019-12-08 00:52:00,8
2019-12-08 00:53:00,40
2019-12-08 00:54:00,3
2019-12-08 00:55:00,34
2019-12-08 00:56:00,6
2019-12-08 00:57:00,14
2019-12-08 00:58:00,7
2019-12-08 00:59:00,21
2019-12-08 01:00:00,16
2019-12-08 01:01:00,5
2019-12-08 01:02:00,4
2019-12-08 01:03:00,20
2019-12-08 01:04:00,2
2019-12-08 01:05:00,11
2019-12-08 01:07:00,8
2019-12-08 01:08:00,17
2019-12-08 01:09:00,11
2019-12-08 01:10:00,13
2019-12-08 01:11:00,3
2019-12-08 01:12:00,15
2019-12-08 01:13:00,18
2019-12-08 01:14:00,7
2019-12-08 01:15:00,5
2019-12-08 01:16:00,1
2019-12-08 01:17:00,6
2019-12-08 01:18:00,3
2019-12-08 01:19:00,2
2019-12-08 01:20:00,18
2019-12-08 01:21:00,5
2019-12-08 01:23:00,1
2019-12-08 01:25:00,2
2019-12-08 01:26:00,25
2019-12-08 01:27:00,25
2019-12-08 01:28:00,15
2019-12-08 01:30:00,22
2019-12-08 01:31:00,11
2019-12-08 01:32:00,12
2019-12-08 01:33:00,3
2019-12-08 01:34:00,2
