3,"SELECT STR(z,#,#) z, ra, dec FROM specObj WHERE Class=&&& AND dec BETWEEN # AND # AND ra BETWEEN # AND # AND z BETWEEN # AND #"
2019-12-08 22:55:00,1
2019-12-08 22:56:00,1
2019-12-08 22:57:00,1
