2,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from galaxy p where (p.z BETWEEN # AND #)  and (p.g-p.r BETWEEN # AND #)  and (p.r-p.i BETWEEN # AND #)  and (p.i-p.z BETWEEN # AND #)"
2019-12-08 01:16:00,1
2019-12-08 01:17:00,1
