2,"select p.objid, p.ra, p.dec from photoobj p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid and p.r > #  and p.g-p.r < #"
2019-12-08 07:34:00,1
2019-12-08 07:39:00,1
