17,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-03-23 02:20:00,1
2019-03-23 17:32:00,1
2019-03-23 17:34:00,1
2019-03-23 17:57:00,1
2019-03-23 18:14:00,1
2019-03-23 19:38:00,1
2019-03-23 19:52:00,1
2019-03-23 20:01:00,1
2019-03-23 23:01:00,1
2019-03-23 23:02:00,1
2019-03-23 23:03:00,1
2019-03-23 23:12:00,1
2019-03-23 23:17:00,1
2019-03-23 23:29:00,1
2019-03-23 23:30:00,1
2019-03-23 23:31:00,1
2019-03-23 23:49:00,1
